id,name,slug
1,An Giang,an-giang
2,Bà Rịa-Vũng Tàu,ba-ria-vung-tau
3,Bắc Giang,bac-giang
4,Bắc Kạn,bac-kan
5,Bạc Liêu,bac-lieu
6,Bắc Ninh,bac-ninh
7,Bến Tre,ben-tre
8,Bình Định,binh-dinh
9,Bình Dương,binh-duong
10,Bình Phước,binh-phuoc
11,Bình Thuận,binh-thuan
12,Cà Mau,ca-mau
13,Cần Thơ,can-tho
14,Cao Bằng,cao-bang
15,Đà Nẵng,da-nang
16,Đắk Lắk,dak-lak
17,Đắk Nông,dak-nong
18,Điện Biên,dien-bien
19,Đồng Nai,dong-nai
20,Đồng Tháp,dong-thap
21,Gia Lai,gia-lai
22,Hà Giang,ha-giang
23,Hà Nam,ha-nam
24,Hà Nội,ha-noi
25,Hà Tĩnh,ha-tinh
26,Hải Dương,hai-duong
27,Hải Phòng,hai-phong
28,Hậu Giang,hau-giang
29,Hồ Chí Minh,ho-chi-minh
30,Hòa Bình,hoa-binh
31,Hưng Yên,hung-yen
32,Khánh Hòa,khanh-hoa
33,Kiên Giang,kien-giang
34,Kon Tum,kon-tum
35,Lai Châu,lai-chau
36,Lâm Đồng,lam-dong
37,Lạng Sơn,lang-son
38,Lào Cai,lao-cai
39,Long An,long-an
40,Nam Định,nam-dinh
41,Nghệ An,nghe-an
42,Ninh Bình,ninh-binh
43,Ninh Thuận,ninh-thuan
44,Phú Thọ,phu-tho
45,Phú Yên,phu-yen
46,Quảng Bình,quang-binh
47,Quảng Nam,quang-nam
48,Quảng Ngãi,quang-ngai
49,Quảng Ninh,quang-ninh
50,Quảng Trị,quang-tri
51,Sóc Trăng,soc-trang
52,Sơn La,son-la
53,Tây Ninh,tay-ninh
54,Thái Bình,thai-binh
55,Thái Nguyên,thai-nguyen
56,Thanh Hóa,thanh-hoa
57,Thừa Thiên Huế,thua-thien-hue
58,Tiền Giang,tien-giang
59,Trà Vinh,tra-vinh
60,Tuyên Quang,tuyen-quang
61,Vĩnh Long,vinh-long
62,Vĩnh Phúc,vinh-phuc
63,Yên Bái,yen-bai
64,An Phú,an-phu
65,Châu Đốc,chau-doc
66,Châu Phú,chau-phu
67,Châu Thành,chau-thanh
68,Chợ Mới,cho-moi
69,Long Xuyên,long-xuyen
70,Phú Tân,phu-tan
71,Tân Châu,tan-chau
72,Thoại Sơn,thoai-son
73,Tịnh Biên,tinh-bien
74,Tri Tôn,tri-ton
75,Tân Thành,tan-thanh
76,Vũng Tàu,vung-tau
77,Xuyên Mộc,xuyen-moc
78,Bà Rịa,ba-ria
79,Châu Đức,chau-duc
80,Côn Đảo,con-dao
81,Đất Đỏ,dat-do
82,Long Điền,long-dien
83,Bắc Giang,bac-giang
84,Hiệp Hòa,hiep-hoa
85,Lạng Giang,lang-giang
86,Lục Nam,luc-nam
87,Lục Ngạn,luc-ngan
88,Sơn Động,son-dong
89,Tân Yên,tan-yen
90,Việt Yên,viet-yen
91,Yên Dũng,yen-dung
92,Yên Thế,yen-the
93,Ba Bể,ba-be
94,Bạch Thông,bach-thong
95,Bắc Kạn,bac-kan
96,Chợ Đồn,cho-don
97,Chợ Mới,cho-moi
98,Na Rì,na-ri
99,Ngân Sơn,ngan-son
100,Pác Nặm,pac-nam
101,Bạc Liêu,bac-lieu
102,Đông Hải,dong-hai
103,Giá Rai,gia-rai
104,Hoà Bình,hoa-binh
105,Hồng Dân,hong-dan
106,Phước Long,phuoc-long
107,Vĩnh Lợi,vinh-loi
108,Bắc Ninh,bac-ninh
109,Gia Bình,gia-binh
110,Lương Tài,luong-tai
111,Quế Võ,que-vo
112,Thuận Thành,thuan-thanh
113,Tiên Du,tien-du
114,Từ Sơn,tu-son
115,Yên Phong,yen-phong
116,Ba Tri,ba-tri
117,Bến Tre,ben-tre
118,Bình Đại,binh-dai
119,Châu Thành,chau-thanh
120,Chợ Lách,cho-lach
121,Giồng Trôm,giong-trom
122,Mỏ Cày Bắc,mo-cay-bac
123,Mỏ Cày Nam,mo-cay-nam
124,Thạnh Phú,thanh-phu
125,An Lão,an-lao
126,An Nhơn,an-nhon
127,Hoài Ân,hoai-an
128,Hoài Nhơn,hoai-nhon
129,Phù Cát,phu-cat
130,Phù Mỹ,phu-my
131,Quy Nhơn,quy-nhon
132,Tây Sơn,tay-son
133,Tuy Phước,tuy-phuoc
134,Vân Canh,van-canh
135,Vĩnh Thạnh,vinh-thanh
136,Bến Cát,ben-cat
137,Dầu Tiếng,dau-tieng
138,Dĩ An,di-an
139,Phú Giáo,phu-giao
140,Tân Uyên,tan-uyen
141,Thủ Dầu Một,thu-dau-mot
142,Thuận An,thuan-an
143,Bình Long,binh-long
144,Bù Đăng,bu-dang
145,Bù Đốp,bu-dop
146,Bù Gia Mập,bu-gia-map
147,Chơn Thành,chon-thanh
148,Đồng Phú,dong-phu
149,Đồng Xoài,dong-xoai
